dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,4816;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5000;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5000;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5688;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,4816;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;35,0000;2,0000;123,0000;60,0000;0,9459;0,3684;0,5303;0,6574;0,3803
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5583;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;31,0000;2,0000;123,0000;64,0000;0,9394;0,3263;0,4844;0,6552;0,3367
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5000;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,7471;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;84,0000;125,0000;0,0000;11,0000;0,4019;0,8842;0,5526;0,7092;-0,1012
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5760;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5153;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;95,0000;123,0000;2,0000;0,0000;0,4358;1,0000;0,6070;0,5080;0,0138
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5000;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,6931;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;27,0000;3,0000;122,0000;68,0000;0,9000;0,2842;0,4320;0,8842;0,2835
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,6253;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5184;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5000;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5000;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,6747;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,6835;0,0000
BOOKKEEPER;1;45,45;43,18;IBK;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;80,0000;82,0000;43,0000;15,0000;0,4938;0,8421;0,6226;0,5931;0,1716
BOOKKEEPER;1;45,45;43,18;IBK;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;70,0000;11,0000;114,0000;25,0000;0,8642;0,7368;0,7955;0,8244;0,6605
BOOKKEEPER;1;45,45;43,18;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;80,0000;82,0000;43,0000;15,0000;0,4938;0,8421;0,6226;0,5931;0,1716
BOOKKEEPER;1;45,45;43,18;IBK;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;70,0000;11,0000;114,0000;25,0000;0,8642;0,7368;0,7955;0,8244;0,6605
BOOKKEEPER;1;45,45;43,18;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;80,0000;82,0000;43,0000;15,0000;0,4938;0,8421;0,6226;0,5931;0,1716
BOOKKEEPER;1;45,45;43,18;IBK;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;70,0000;11,0000;114,0000;25,0000;0,8642;0,7368;0,7955;0,8244;0,6605
BOOKKEEPER;1;45,45;43,18;IBK;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;80,0000;82,0000;43,0000;15,0000;0,4938;0,8421;0,6226;0,5896;0,1716
BOOKKEEPER;1;45,45;43,18;IBK;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;45,0000;1,0000;124,0000;50,0000;0,9783;0,4737;0,6383;0,7319;0,4964
BOOKKEEPER;1;45,45;43,18;IBK;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;80,0000;82,0000;43,0000;15,0000;0,4938;0,8421;0,6226;0,5931;0,1716
BOOKKEEPER;1;45,45;43,18;IBK;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;45,0000;1,0000;124,0000;50,0000;0,9783;0,4737;0,6383;0,7328;0,4964
BOOKKEEPER;1;45,45;43,18;IBK;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;26,0000;1,0000;124,0000;69,0000;0,9630;0,2737;0,4262;0,6545;0,2906
BOOKKEEPER;1;45,45;43,18;IBK;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;40,0000;2,0000;123,0000;55,0000;0,9524;0,4211;0,5839;0,7028;0,4341
BOOKKEEPER;1;45,45;43,18;IBK;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;80,0000;82,0000;43,0000;15,0000;0,4938;0,8421;0,6226;0,5931;0,1716
BOOKKEEPER;1;45,45;43,18;IBK;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;70,0000;11,0000;114,0000;25,0000;0,8642;0,7368;0,7955;0,8244;0,6605
BOOKKEEPER;1;45,45;43,18;IBK;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;80,0000;82,0000;43,0000;15,0000;0,4938;0,8421;0,6226;0,5931;0,1716
BOOKKEEPER;1;45,45;43,18;IBK;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;70,0000;11,0000;114,0000;25,0000;0,8642;0,7368;0,7955;0,8244;0,6605
BOOKKEEPER;1;45,45;43,18;IBK;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;26,0000;1,0000;124,0000;69,0000;0,9630;0,2737;0,4262;0,6319;0,2906
BOOKKEEPER;1;45,45;43,18;IBK;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;40,0000;2,0000;123,0000;55,0000;0,9524;0,4211;0,5839;0,7025;0,4341
BOOKKEEPER;1;45,45;43,18;IBK;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;80,0000;82,0000;43,0000;15,0000;0,4938;0,8421;0,6226;0,5931;0,1716
BOOKKEEPER;1;45,45;43,18;IBK;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;70,0000;11,0000;114,0000;25,0000;0,8642;0,7368;0,7955;0,8244;0,6605
BOOKKEEPER;1;45,45;43,18;IBK;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;80,0000;82,0000;43,0000;15,0000;0,4938;0,8421;0,6226;0,5931;0,1716
BOOKKEEPER;1;45,45;43,18;IBK;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;70,0000;11,0000;114,0000;25,0000;0,8642;0,7368;0,7955;0,8244;0,6605
BOOKKEEPER;1;45,45;43,18;IBK;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;27,0000;2,0000;123,0000;68,0000;0,9310;0,2842;0,4355;0,5244;0,2926
BOOKKEEPER;1;45,45;43,18;IBK;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;40,0000;2,0000;123,0000;55,0000;0,9524;0,4211;0,5839;0,6663;0,4341
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;86,0000;57,0000;150,0000;18,0000;0,6014;0,8269;0,6964;0,8525;0,5045
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;88,0000;63,0000;144,0000;16,0000;0,5828;0,8462;0,6902;0,8292;0,4870
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;44,0000;10,0000;197,0000;60,0000;0,8148;0,4231;0,5570;0,6874;0,4257
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;40,0000;20,0000;187,0000;64,0000;0,6667;0,3846;0,4878;0,6440;0,3219
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;56,0000;12,0000;195,0000;48,0000;0,8235;0,5385;0,6512;0,8546;0,5258
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;50,0000;20,0000;187,0000;54,0000;0,7143;0,4808;0,5747;0,8423;0,4182
