dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
OPENJPA;1;8,31;12,14;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;33,0000;19,0000;813,0000;82,0000;0,6346;0,2870;0,3952;0,6902;0,3457
OPENJPA;1;8,31;12,14;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;33,0000;17,0000;815,0000;82,0000;0,6600;0,2870;0,4000;0,6333;0,3523
OPENJPA;1;8,31;12,14;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;31,0000;11,0000;821,0000;84,0000;0,7381;0,2696;0,3949;0,6282;0,3529
OPENJPA;1;8,31;12,14;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;34,0000;17,0000;815,0000;81,0000;0,6667;0,2957;0,4096;0,7021;0,3620
OPENJPA;1;8,31;12,14;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;31,0000;11,0000;821,0000;84,0000;0,7381;0,2696;0,3949;0,6902;0,3529
OPENJPA;1;8,31;12,14;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;42,0000;40,0000;792,0000;73,0000;0,5122;0,3652;0,4264;0,7184;0,3619
OPENJPA;1;8,31;12,14;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;37,0000;30,0000;802,0000;78,0000;0,5522;0,3217;0,4066;0,6588;0,3483
OPENJPA;1;8,31;12,14;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;36,0000;25,0000;807,0000;79,0000;0,5902;0,3130;0,4091;0,6415;0,3548
OPENJPA;1;8,31;12,14;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;33,0000;16,0000;816,0000;82,0000;0,6735;0,2870;0,4024;0,6339;0,3557
OPENJPA;1;8,31;12,14;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;34,0000;18,0000;814,0000;81,0000;0,6538;0,2957;0,4072;0,7043;0,3587
OPENJPA;1;8,31;12,14;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;109,0000;817,0000;15,0000;6,0000;0,1177;0,9478;0,2094;0,6140;-0,0085
OPENJPA;1;8,31;12,14;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;36,0000;27,0000;805,0000;79,0000;0,5714;0,3130;0,4045;0,7157;0,3485
OPENJPA;1;8,31;12,14;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;33,0000;21,0000;811,0000;82,0000;0,6111;0,2870;0,3905;0,6132;0,3393
OPENJPA;1;8,31;12,14;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;33,0000;16,0000;816,0000;82,0000;0,6735;0,2870;0,4024;0,6339;0,3557
OPENJPA;1;8,31;12,14;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;31,0000;9,0000;823,0000;84,0000;0,7750;0,2696;0,4000;0,6294;0,3599
OPENJPA;1;8,31;12,14;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;82,0000;731,0000;101,0000;33,0000;0,1009;0,7130;0,1767;0,3638;-0,0458
OPENJPA;1;8,31;12,14;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;110,0000;822,0000;10,0000;5,0000;0,1180;0,9565;0,2101;0,2846;-0,0077
OPENJPA;1;8,31;12,14;NAIVEBAYES;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;43,0000;37,0000;795,0000;72,0000;0,5375;0,3739;0,4410;0,7352;0,3792
OPENJPA;1;8,31;12,14;NAIVEBAYES;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;45,0000;56,0000;776,0000;70,0000;0,4455;0,3913;0,4167;0,7122;0,3419
OPENJPA;1;8,31;12,14;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;38,0000;24,0000;808,0000;77,0000;0,6129;0,3304;0,4294;0,6508;0,3763
OPENJPA;1;8,31;12,14;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;36,0000;24,0000;808,0000;79,0000;0,6000;0,3130;0,4114;0,6421;0,3580
OPENJPA;1;8,31;12,14;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;31,0000;9,0000;823,0000;84,0000;0,7750;0,2696;0,4000;0,7774;0,3599
OPENJPA;1;8,31;12,14;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;82,0000;329,0000;503,0000;33,0000;0,1995;0,7130;0,3118;0,7288;0,1506
OPENJPA;1;8,31;12,14;IBK;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,6417;0,0000
OPENJPA;1;8,31;12,14;IBK;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;10,0000;10,0000;822,0000;105,0000;0,5000;0,0870;0,1481;0,7139;0,1164
OPENJPA;1;8,31;12,14;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;8,31;12,14;IBK;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;10,0000;10,0000;822,0000;105,0000;0,5000;0,0870;0,1481;0,5375;0,1164
OPENJPA;1;8,31;12,14;IBK;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,6417;0,0000
OPENJPA;1;8,31;12,14;IBK;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;10,0000;10,0000;822,0000;105,0000;0,5000;0,0870;0,1481;0,7139;0,1164
OPENJPA;1;8,31;12,14;IBK;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;4,0000;0,0000;832,0000;111,0000;1,0000;0,0348;0,0672;0,6947;0,0595
OPENJPA;1;8,31;12,14;IBK;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;17,0000;15,0000;817,0000;98,0000;0,5313;0,1478;0,2313;0,6816;0,1884
OPENJPA;1;8,31;12,14;IBK;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;4,0000;0,0000;832,0000;111,0000;1,0000;0,0348;0,0672;0,5174;0,0595
OPENJPA;1;8,31;12,14;IBK;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;17,0000;15,0000;817,0000;98,0000;0,5313;0,1478;0,2313;0,5649;0,1884
OPENJPA;1;8,31;12,14;IBK;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,7720;0,0000
OPENJPA;1;8,31;12,14;IBK;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;6,0000;0,0000;832,0000;109,0000;1,0000;0,0522;0,0992;0,7734;0,0882
OPENJPA;1;8,31;12,14;IBK;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;60,0000;42,0000;790,0000;55,0000;0,5882;0,5217;0,5530;0,7356;0,4954
OPENJPA;1;8,31;12,14;IBK;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;68,0000;117,0000;715,0000;47,0000;0,3676;0,5913;0,4533;0,7258;0,3570
OPENJPA;1;8,31;12,14;IBK;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;60,0000;42,0000;790,0000;55,0000;0,5882;0,5217;0,5530;0,7356;0,4954
OPENJPA;1;8,31;12,14;IBK;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;68,0000;117,0000;715,0000;47,0000;0,3676;0,5913;0,4533;0,7253;0,3570
OPENJPA;1;8,31;12,14;IBK;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;61,0000;744,0000;88,0000;54,0000;0,0758;0,5304;0,1326;0,3181;-0,1015
OPENJPA;1;8,31;12,14;IBK;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;76,0000;753,0000;79,0000;39,0000;0,0917;0,6609;0,1610;0,3779;-0,0664
OPENJPA;1;8,31;12,14;IBK;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;41,0000;733,0000;99,0000;74,0000;0,0530;0,3565;0,0922;0,2378;-0,1512
OPENJPA;1;8,31;12,14;IBK;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;53,0000;265,0000;567,0000;62,0000;0,1667;0,4609;0,2448;0,6578;0,0809
OPENJPA;1;8,31;12,14;IBK;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;41,0000;733,0000;99,0000;74,0000;0,0530;0,3565;0,0922;0,2378;-0,1512
OPENJPA;1;8,31;12,14;IBK;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;53,0000;265,0000;567,0000;62,0000;0,1667;0,4609;0,2448;0,5712;0,0809
OPENJPA;1;8,31;12,14;IBK;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;8,0000;32,0000;800,0000;107,0000;0,2000;0,0696;0,1032;0,7298;0,0433
OPENJPA;1;8,31;12,14;IBK;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;43,0000;280,0000;552,0000;72,0000;0,1331;0,3739;0,1963;0,6457;0,0210
OPENJPA;2;10,22;18,02;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;64,0000;38,0000;781,0000;116,0000;0,6275;0,3556;0,4539;0,8376;0,3721
OPENJPA;2;10,22;18,02;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;111,0000;253,0000;566,0000;69,0000;0,3049;0,6167;0,4081;0,7703;0,2200
OPENJPA;2;10,22;18,02;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;819,0000;180,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;2;10,22;18,02;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;28,0000;8,0000;811,0000;152,0000;0,7778;0,1556;0,2593;0,5729;0,2119
OPENJPA;2;10,22;18,02;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;9,0000;1,0000;818,0000;171,0000;0,9000;0,0500;0,0947;0,8418;0,0772
OPENJPA;2;10,22;18,02;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;29,0000;6,0000;813,0000;151,0000;0,8286;0,1611;0,2698;0,7836;0,2243
