dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
OPENJPA;1;7,68;11,72;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;29,0000;18,0000;818,0000;82,0000;0,6170;0,2613;0,3671;0,6199;0,3196
OPENJPA;1;7,68;11,72;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;28,0000;12,0000;824,0000;83,0000;0,7000;0,2523;0,3709;0,6189;0,3292
OPENJPA;1;7,68;11,72;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;29,0000;19,0000;817,0000;82,0000;0,6042;0,2613;0,3648;0,6879;0,3164
OPENJPA;1;7,68;11,72;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;29,0000;12,0000;824,0000;82,0000;0,7073;0,2613;0,3816;0,6841;0,3398
OPENJPA;1;7,68;11,72;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;40,0000;43,0000;793,0000;71,0000;0,4819;0,3604;0,4124;0,7345;0,3469
OPENJPA;1;7,68;11,72;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;42,0000;62,0000;774,0000;69,0000;0,4038;0,3784;0,3907;0,6511;0,3128
OPENJPA;1;7,68;11,72;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;34,0000;30,0000;806,0000;77,0000;0,5313;0,3063;0,3886;0,6352;0,3312
OPENJPA;1;7,68;11,72;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;31,0000;21,0000;815,0000;80,0000;0,5962;0,2793;0,3804;0,6271;0,3303
OPENJPA;1;7,68;11,72;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,7571;0,0000
OPENJPA;1;7,68;11,72;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;26,0000;7,0000;829,0000;85,0000;0,7879;0,2342;0,3611;0,8685;0,3248
