Version,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XTable.java,15,25,3,1,23,7,23,1723,1027,574,44,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StateComparisonVersionStrategy.java,226,363,3,2,323,107,321,1507,1027,502,44,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/FlatClassStrategy.java,35,65,2,1,65,32,65,1502,1027,751,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/util/Id.java,87,319,5,1,105,21,101,3346,1027,669,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PDeletedState.java,50,273,7,2,87,12,83,2926,1027,418,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyInverseKeyFieldStrategy.java,275,397,8,2,339,42,309,1685,1027,210,44,false
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/xml/DocTypeReader.java,173,519,6,1,275,45,314,3235,1027,539,47,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PNewDeletedState.java,51,271,5,2,89,17,85,2896,1027,579,45,false
0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistentMap.java,19,129,5,1,31,6,28,3092,1027,618,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math.java,99,293,6,2,121,20,141,1822,1027,303,44,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/UntypedPCValueHandler.java,82,125,3,2,119,39,119,1639,1027,546,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PNonTransDeletedState.java,42,230,5,2,76,15,72,2896,1027,579,45,false
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/DoubleValue.java,37,123,7,2,71,10,73,3278,1027,468,47,false
0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/VersionColumn.java,17,29,3,1,27,9,27,1723,1027,574,44,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedCharArrayFieldStrategy.java,74,112,3,1,110,36,110,1723,1027,574,44,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java,167,265,3,2,259,86,259,1545,1027,515,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/util/Proxies.java,178,631,4,1,209,52,204,2871,1027,717,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/util/ImplHelper.java,148,763,15,4,151,10,182,3836,1027,255,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractDB2Dictionary.java,67,97,3,2,97,32,95,1502,1027,500,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Divide.java,12,115,4,1,39,9,35,2871,1027,717,45,false
0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/PersistenceMappingFactory.java,33,39,3,1,37,12,37,1723,1027,574,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PNewFlushedDeletedFlushedState.java,10,109,5,2,35,7,31,2896,1027,579,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/util/CollectionChangeTrackerImpl.java,73,263,5,1,83,16,83,2920,1027,584,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Filters.java,737,2673,12,3,893,74,822,3485,1027,290,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyHashSet.java,100,360,4,1,120,30,117,2871,1027,717,45,false
0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/TransactionRequiredException.java,73,309,6,1,95,15,85,3180,1027,530,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AccessDictionary.java,61,93,2,1,93,46,93,1502,1027,751,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/SimpleNode.java,7,87,4,1,31,7,27,2871,1027,717,45,false
0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/StoreCache.java,34,662,9,3,54,6,139,3739,1027,415,45,false
0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XSecondaryTables.java,10,15,3,1,13,4,13,1723,1027,574,44,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java,109,266,5,2,138,27,152,1806,1027,361,44,false
