dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,4156;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,5000;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,5000;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,4747;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,4156;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,4703;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,3858;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,5000;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,5000;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,7783;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;27,0000;2,0000;129,0000;62,0000;0,9310;0,3034;0,4576;0,8509;0,3230
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,4567;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,4517;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,5000;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,5000;0,0000
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;82,0000;115,0000;16,0000;7,0000;0,4162;0,9213;0,5734;0,7638;0,0364
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,6288;0,0000
