Version,Version Name,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,31,62,2,2,58,29,57,378,281,189,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,353,653,6,2,353,58,349,223,97,37,5,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,6,6,1,1,6,6,6,29,29,29,2,false
0,release-4.0.0,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,72,112,2,2,104,52,104,452,281,226,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,189,520,10,3,182,18,147,752,281,75,35,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,72,138,1,1,138,138,138,281,281,281,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,41,41,1,1,41,41,41,27,27,27,2,false
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,92,161,4,2,137,34,136,578,281,144,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java,110,198,8,3,164,20,126,629,281,78,35,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,10,38,2,2,38,19,38,452,281,226,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,305,490,4,2,452,113,450,550,281,137,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,41,41,3,2,41,13,41,513,281,171,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,47,47,3,2,47,15,47,513,281,171,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,47,81,1,1,81,81,81,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,12,79,2,2,75,37,75,452,281,226,35,true
0,release-4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,60,64,3,3,60,20,58,214,171,71,14,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,50,115,4,2,99,24,98,578,281,144,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,108,167,3,2,159,53,158,549,281,183,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,37,82,3,2,70,23,70,481,281,160,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,321,321,1,1,321,321,321,35,35,35,0,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,74,111,1,1,111,111,111,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,27,64,2,2,64,32,64,452,281,226,35,false
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,18,43,1,1,43,43,43,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,47,76,2,2,74,37,74,452,281,226,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,170,494,7,3,170,24,150,698,281,99,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,442,1270,13,3,442,34,299,769,281,59,35,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,10,65,2,2,63,31,63,452,281,226,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,108,130,6,3,108,18,107,633,281,105,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,35,37,2,1,35,17,20,78,43,39,2,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,58,62,5,3,58,11,43,547,281,109,35,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,13,106,2,2,104,52,104,452,281,226,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,55,55,1,1,55,55,55,35,35,35,0,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,26,49,1,1,49,49,49,281,281,281,35,false
0,release-4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,23,23,1,1,23,23,23,43,43,43,2,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,106,106,2,1,106,53,106,342,281,171,35,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,13,40,2,2,36,18,36,452,281,226,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,44,105,3,2,79,26,78,549,281,183,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,114,172,4,2,160,40,159,578,281,144,35,true
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java,44,80,2,2,76,38,76,452,281,226,35,false
0,release-4.0.0,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,15,51,2,2,51,25,51,452,281,226,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,53,126,4,3,92,23,91,567,281,141,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,437,527,8,3,437,54,432,693,281,86,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,115,143,7,3,115,16,100,653,281,93,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,109,109,1,1,109,109,109,35,35,35,0,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,6,27,1,1,27,27,27,281,281,281,35,false
0,release-4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,35,37,4,3,35,8,32,556,281,139,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java,230,322,4,3,314,78,311,551,281,137,35,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,61,169,3,2,105,35,104,549,281,183,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java,74,116,2,2,112,56,112,452,281,226,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,59,75,4,2,59,14,59,51,43,12,2,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,24,32,5,3,24,4,24,645,281,129,35,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,14,52,2,2,48,24,48,310,281,155,35,false
