Version,Version Name,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,release-0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement.java,569,913,8,1,799,99,794,3731,1027,466,47,false
0,release-0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCColumnOrder.java,39,84,2,1,84,42,84,1502,1027,751,44,false
0,release-0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/event/TransactionListener.java,5,60,5,1,8,1,5,3092,1027,618,45,false
0,release-0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/MethodStoreQuery.java,192,827,8,2,255,31,237,3440,1027,430,45,false
0,release-0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/TimeUnit.java,275,1468,7,1,554,79,564,3724,1027,532,47,false
0,release-0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/VersionAttachStrategy.java,240,991,11,4,331,30,310,3621,1027,329,45,true
0,release-0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/ToLowerCase.java,23,177,5,2,55,11,53,2960,1027,592,45,false
0,release-0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedByteArrayFieldStrategy.java,58,93,3,1,93,31,93,1723,1027,574,44,false
0,release-0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLFactoryImpl.java,27,27,2,1,27,13,27,1502,1027,751,44,false
0,release-0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schemas.java,186,232,2,1,232,116,232,1502,1027,751,44,false
0,release-0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java,79,113,5,2,79,15,84,1642,1027,328,44,false
0,release-0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/meta/Order.java,8,24,4,1,8,2,8,2871,1027,717,45,false
0,release-0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/RangeResultObjectProvider.java,73,206,8,1,140,17,145,3812,1027,476,47,false
0,release-0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/ant/PCEnhancerTask.java,37,119,7,2,37,5,35,2975,1027,425,45,false
0,release-0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/CandidatePath.java,121,514,7,2,182,26,158,3461,1027,494,45,false
0,release-0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/OpenJPAStateManager.java,83,1480,10,3,496,49,488,3317,1027,331,45,false
